Location,Percent_Urban_2020,Classification
NATIONAL CAPITAL REGION (NCR),100.0,Urban
City of Manila,100.0,Urban
City of Mandaluyong,100.0,Urban
City of Marikina,100.0,Urban
City of Pasig,100.0,Urban
Quezon City,100.0,Urban
City of San Juan,100.0,Urban
City of Caloocan,100.0,Urban
City of Malabon,100.0,Urban
City of Navotas,100.0,Urban
City of Valenzuela,100.0,Urban
City of Las Piñas,100.0,Urban
City of Makati,100.0,Urban
City of Muntinlupa,100.0,Urban
City of Parañaque,100.0,Urban
Pasay City,100.0,Urban
City of Taguig,100.0,Urban
Municipality of Pateros,100.0,Urban

CORDILLERA ADMINISTRATIVE REGION (CAR),33.30373930554165,Rural
ABRA,6.448990975556308,Rural
Bangued (Capital),32.12655313405581,Rural
Boliney,0.0,Rural
Bucay,0.0,Rural
Bucloc,0.0,Rural
Daguioman,0.0,Rural
Danglas,0.0,Rural
Dolores,0.0,Rural
La Paz,0.0,Rural
Lacub,0.0,Rural
Lagangilang,0.0,Rural
Lagayan,0.0,Rural
Langiden,0.0,Rural
Licuan-Baay (Licuan),0.0,Rural
Luba,0.0,Rural
Malibcong,0.0,Rural
Manabo,0.0,Rural
Peñarrubia,0.0,Rural
Pidigan,0.0,Rural
Pilar,0.0,Rural
Sallapadan,0.0,Rural
San Isidro,0.0,Rural
San Juan,0.0,Rural
San Quintin,0.0,Rural
Tayum,0.0,Rural
Tineg,0.0,Rural
Tubo,0.0,Rural
Villaviciosa,0.0,Rural
APAYAO,0.8547352170207292,Rural
Calanasan (Bayag),8.47011952191235,Rural
Conner,0.0,Rural
Flora,0.0,Rural
Kabugao (Capital),0.0,Rural
Luna,0.0,Rural
Pudtol,0.0,Rural
Santa Marcela,0.0,Rural
BENGUET,56.46616002761118,Suburban
Atok,22.29680507857217,Rural
Bakun,0.0,Rural
Bokod,22.86802909594735,Rural
Buguias,19.758450876841145,Rural
Itogon,86.6385898728414,Urban
Kabayan,0.0,Rural
Kapangan,0.0,Rural
Kibungan,32.54354583308896,Rural
La Trinidad (Capital),93.84661290792117,Urban
Mankayan,35.96540703139688,Rural
Sablan,0.0,Rural
Tuba,65.49511508527902,Suburban
Tublay,55.92156055381131,Suburban
CITY OF BAGUIO,64.67062272422058,Suburban
IFUGAO,8.043932953570637,Rural
Banaue,0.0,Rural
Hungduan,0.0,Rural
Kiangan,15.54462721157651,Rural
Lagawe (Capital),30.36660309387582,Rural
Lamut,10.653706880121975,Rural
Mayoyao,0.0,Rural
Alfonso Lista (Potia),15.895011890431872,Rural
Aguinaldo,0.0,Rural
Hingyon,0.0,Rural
Tinoc,0.0,Rural
